ebaotstarbekas/ADJ,administratiivne/ADJ,jaotus/NOUN
rõskes/ADJ,kahetoalises/ADJ,korteris/NOUN
raskeid/ADJ,koduseid/ADJ,ülesandeid/NOUN
tüüpilise/ADJ,hollandliku/ADJ,vastuse/NOUN
puhtalt/ADJ,valgelt/ADJ,lehelt/NOUN
ühine/ADJ,välispoliitiline/ADJ,kurss/NOUN
kulissidetagust/ADJ,intriigirikast/ADJ,kaadri-/NOUN
endine/ADJ,aravõitu/ADJ,dissident/NOUN
laiaulatuslikust/ADJ,funktsionaalsest/ADJ,teabevõrgustikust/NOUN
täpse/ADJ,kolmemõõtmelise/ADJ,kujutise/NOUN
tegelike/ADJ,füüsiliste/ADJ,isikute/NOUN
nn/ADJ,pruunis/ADJ,vees/NOUN
sedasorti/ADJ,vaimset/ADJ,ollust/NOUN
kõikvõimalikud/ADJ,vastastikused/ADJ,asendid/NOUN
esimene/ADJ,taoline/ADJ,õppus/NOUN
poola/ADJ,nimekas/ADJ,stsenarist/NOUN
lühiajalist/ADJ,mehhaanilist/ADJ,survet/NOUN
tihedaid/ADJ,punaseid/ADJ,kriipse/NOUN
uut/ADJ,eesti/ADJ,mööblit/NOUN
samalaadseid/ADJ,ümarnurkseid/ADJ,asju/NOUN
emane/ADJ,tume/ADJ,tiigerpüüton/NOUN
korralikku/ADJ,tehnilist/ADJ,taipu/NOUN
pikantne/ADJ,prantsuse/ADJ,film/NOUN
abstraktse/ADJ,noore/ADJ,muusa-modelli/NOUN
halle/ADJ,harevaid/ADJ,juukseid/NOUN
tormiseid/ADJ,pilvealuseid/ADJ,öid/NOUN
väikeses/ADJ,turvalises/ADJ,agulimajas/NOUN
müstilised/ADJ,mahlakad/ADJ,laukaaurud/NOUN
suur/ADJ,hall/ADJ,kivi/NOUN
avaras/ADJ,hämaras/ADJ,ruumis/NOUN
üksikuid/ADJ,valjuhäälseid/ADJ,hõikeid/NOUN
paksu/ADJ,uduse/ADJ,klaasi/NOUN
Hägused/ADJ,valged/ADJ,laigud/NOUN
terava/ADJ,kongus/ADJ,nokaga/NOUN
suured/ADJ,tumedad/ADJ,silmad/NOUN
Eesti/ADJ,obstsöönsete/ADJ,mõistatuste/NOUN
tavaline/ADJ,inimlik/ADJ,hääl/NOUN
pikk/ADJ,sirge/ADJ,tee/NOUN
lühikese/ADJ,põrguliku/ADJ,pimeduse/NOUN
suur/ADJ,hall/ADJ,kivi/NOUN
pikki/ADJ,heledaid/ADJ,juukseid/NOUN
pikkade/ADJ,pehmete/ADJ,juustega/NOUN
kummalisest/ADJ,eredast/ADJ,unenäost/NOUN
esimesi/ADJ,sellelaadseid/ADJ,ideid/NOUN
uus/ADJ,välismaine/ADJ,suuromanik/NOUN
lai/ADJ,beebilik/ADJ,naeratus/NOUN
suurele/ADJ,nahksele/ADJ,toolile/NOUN
pikad/ADJ,siidised/ADJ,juuksed/NOUN
väikesest/ADJ,valgest/ADJ,kuklast/NOUN
suurem/ADJ,nullfaasiline/ADJ,elektriväli/NOUN
siidisele/ADJ,mustale/ADJ,saapapaelale/NOUN
sagedasemaks/ADJ,geneetiliseks/ADJ,põhjuseks/NOUN
asjakohast/ADJ,meditsiinigeneetilist/ADJ,nõustamist/NOUN
6päevase/ADJ,sanatoorse/ADJ,ravi/NOUN
pikk/ADJ,ajalooline/ADJ,kogemus/NOUN
3-4nädalase/ADJ,sanatoorse/ADJ,ravi/NOUN
pikaaegne/ADJ,kliiniline/ADJ,kogemus/NOUN
kuuepäevase/ADJ,sanatoorse/ADJ,ravi/NOUN
ravieelne/ADJ,kliiniline/ADJ,seisund/NOUN
Ravieelsete/ADJ,kliiniliste/ADJ,algandmete/NOUN
suurem/ADJ,positiivne/ADJ,dünaamika/NOUN
raskemale/ADJ,kliinilisele/ADJ,algseisundile/NOUN
positiivne/ADJ,kliiniline/ADJ,kogemus/NOUN
6päevase/ADJ,sanatoorse/ADJ,ravi/NOUN
suurte/ADJ,punaste/ADJ,huultega/NOUN
raskemale/ADJ,ravieelsele/ADJ,seisundile/NOUN
mitmenädalane/ADJ,sanatoorne/ADJ,ravi/NOUN
väiksem/ADJ,keskmine/ADJ,vanus/NOUN
komplekssel/ADJ,sanatoorsel/ADJ,ravil/NOUN
subkortikaalne/ADJ,vaskulaarne/ADJ,dementsus/NOUN
uued/ADJ,histoloogilised/ADJ,värvimismeetodid/NOUN
subkortikaalset/ADJ,vaskulaarset/ADJ,entsefalopaatiat/NOUN
mitmepalgeline/ADJ,kliiniline/ADJ,väljendus/NOUN
pärilikud/ADJ,vaskulaarsed/ADJ,dementsused/NOUN
olulise/ADJ,sensomotoorse/ADJ,kõnehäire/NOUN
Milline/ADJ,neuroloogiline/ADJ,sümptomaatika/NOUN
väiksemate/ADJ,ishee-miliste/ADJ,episoodide/NOUN
lühiaegsed/ADJ,neuroloogilised/ADJ,häired/NOUN
kortikaalse/ADJ,multiinfarktse/ADJ,dementsusega/NOUN
subkortikaalse/ADJ,multiinfarktse/ADJ,dementsusega/NOUN
Subkortikaalne/ADJ,vaskulaarne/ADJ,dementsus/NOUN
sisemine/ADJ,elastne/ADJ,kest/NOUN
mitmeste/ADJ,väikeste/ADJ,infarktide/NOUN
Sümptomaatilised/ADJ,lakunaarsed/ADJ,infarktid/NOUN
iseloomulik/ADJ,kliiniline/ADJ,sündroom/NOUN
väikesed/ADJ,ebakindlad/ADJ,sammud/NOUN
mitmeste/ADJ,lakunaarsete/ADJ,infarktidega/NOUN
pikkade/ADJ,resistentsete/ADJ,lõpparterioolidega/NOUN
kerge/ADJ,psühhomotoorse/ADJ,aeglustumise/NOUN
subkortikaalse/ADJ,vaskulaarse/ADJ,dementsuse/NOUN
vanad/ADJ,lakunaarsed/ADJ,infarktid/NOUN
Multiipelne/ADJ,sensoorne/ADJ,defitsiit/NOUN
tõsisemat/ADJ,intellektuaalset/ADJ,puuet/NOUN
rutiinses/ADJ,kliinilises/ADJ,praktikas/NOUN
primaarsele/ADJ,degeneratiivsele/ADJ,dementsusele/NOUN
subkortikaalsest/ADJ,isheemilisest/ADJ,ajukahjustusest/NOUN
halvema/ADJ,kognitiivse/ADJ,võimekusega/NOUN
suhtelise/ADJ,arteriaalse/ADJ,hüpo-/NOUN
halva/ADJ,kognitiivse/ADJ,funktsiooniga/NOUN
Pikaajalised/ADJ,epidemioloogilised/ADJ,uurimused/NOUN
halvale/ADJ,kognitiivsele/ADJ,hilistulemusele/NOUN
Subkortikaalse/ADJ,vaskulaarse/ADJ,dementsuse/NOUN
hea/ADJ,kliinilise/ADJ,uuringuga/NOUN
kohaliku/ADJ,vene/ADJ,imperiaalkultuuri/NOUN
kindel/ADJ,ajaline/ADJ,seos/NOUN
linlik/ADJ,eesti/ADJ,rahvas/NOUN
stalinismilaadse/ADJ,rahvusliku/ADJ,rõhumise/NOUN
alandav/ADJ,nõukogulik/ADJ,nimetus/NOUN
elusat/ADJ,maailmakuulsat/ADJ,loojat/NOUN
soome-ugri/ADJ,noorte/ADJ,kunstnike/NOUN
peeneteralist/ADJ,valget/ADJ,heeringamarja/NOUN
Ehtsale/ADJ,mustale/ADJ,kaaviarile/NOUN
suureteralist/ADJ,punast/ADJ,forelli-/NOUN
tolleaegne/ADJ,kõrge/ADJ,ametnik/NOUN
äsjase/ADJ,veealuse/ADJ,uuringu/NOUN
sellelaadne/ADJ,aktiivne/ADJ,missioon/NOUN
vertikaalse/ADJ,optilise/ADJ,panoraamfotokaameraga/NOUN
märkimisväärne/ADJ,majanduslik/ADJ,kahju/NOUN
viimaseks/ADJ,suuremaks/ADJ,jõuprooviks/NOUN
esimene/ADJ,kohalik/ADJ,naiskombainer/NOUN
80ndate/ADJ,teisel/ADJ,poolel/NOUN
praegusele/ADJ,keskmisele/ADJ,tasemele/NOUN
senine/ADJ,ühetooniline/ADJ,krohvviimistlus/NOUN
lihtsate/ADJ,ornamentaalsete/ADJ,kaunistustega/NOUN
viimase/ADJ,järjepideva/ADJ,ehitusperioodi/NOUN
tugev/ADJ,piprane/ADJ,õhetus/NOUN
sääraseid/ADJ,ujedaid/ADJ,õppureid/NOUN
Kohli-aegsed/ADJ,räpased/ADJ,mängud/NOUN
senisest/ADJ,tugevast/ADJ,jalgealusest/NOUN
ainus/ADJ,hea/ADJ,külg/NOUN
ainus/ADJ,hea/ADJ,külg/NOUN
eesti/ADJ,professionaalset/ADJ,kunsti/NOUN
