musta/ADJ,tupruttava/ADJ,juna/NOUN
luontainen/ADJ,taipumus/NOUN,hyvään/ADJ
vammaisten/ADJ,uusia/ADJ,hallintalaitteita/NOUN
Suuri/ADJ,400-paikkainen/ADJ,pysäköintitila/NOUN
pelkkää/ADJ,ryppyotsaista/ADJ,politikointia/NOUN
pelkkä/ADJ,poliittinen/ADJ,symboli/NOUN
koko/ADJ,suomalaisen/ADJ,metsäteollisuuden/NOUN
terävä/ADJ,tutkiva/ADJ,journalisti/NOUN
kalkkeutuneet/ADJ,vanhat/ADJ,ilvespierut/NOUN
Minkälaisia/ADJ,uusia/ADJ,piirteitä/NOUN
koko/ADJ,pohjoismaisen/ADJ,hyvinvointivaltion/NOUN
mukavassa/ADJ,ensi/ADJ,tapaamisessa/NOUN
koko/ADJ,keinotekoiselle/ADJ,uppopallolle/NOUN
koko/ADJ,ensimmäisen/ADJ,tunni/NOUN
Edellisestä/ADJ,suomenkielisestä/ADJ,levystä/NOUN
parasta/ADJ,lääkettä/NOUN,uskovaisille/ADJ
syyskuullisia/ADJ,provosoivia/ADJ,Facebook-julkaisuita/NOUN
useista/ADJ,surevista/ADJ,Facebook-julkaisuistaan/NOUN
uusien/ADJ,taloudellisten/ADJ,taakkojen/NOUN
Tammikuullisessa/ADJ,tärkeässä/ADJ,selvityksessä/NOUN
osuvan/ADJ,yhteiskunnallisen/ADJ,draaman/NOUN
uusi/ADJ,pehmeä/ADJ,kohde/NOUN
suurempaa/ADJ,taloudellista/ADJ,kehitystä/NOUN
kausittainen/ADJ,vallitseva/ADJ,tuuli/NOUN
afrikkalaisten/ADJ,perinteisten/ADJ,uskontojen/NOUN
huomattavat/ADJ,topografiset/ADJ,piirteet/NOUN
leuto/ADJ,välimerellinen/ADJ,ilmasto/NOUN
Useat/ADJ,yksityiset/ADJ,tahot/NOUN
useassa/ADJ,eurooppalaisessa/ADJ,kielessä/NOUN
amerikkalaisen/ADJ,tavallisen/ADJ,kansan/NOUN
vakavan/ADJ,taktisen/ADJ,virheen/NOUN
ensimmäinen/ADJ,tieteellinen/ADJ,selostus/NOUN
useita/ADJ,aggressiivisia/ADJ,neuvotteluita/NOUN
Pyhän/ADJ,saksalais-roomalaisen/ADJ,keisarikunnan/NOUN
pronssikautinen/ADJ,tähtitieteellinen/ADJ,observatorio/NOUN
suuren/ADJ,makedonialaisen/ADJ,armeijan/NOUN
omat/ADJ,pienemmät/ADJ,autonsa/NOUN
esihistoriallisessa/ADJ,mesoamerikkalaisessa/ADJ,ikonografiassa/NOUN
tulevasta/ADJ,kolmannesta/ADJ,studioalbumistaan/NOUN
syvä/ADJ,uskonnollinen/ADJ,vakaumus/NOUN
täydellisestä/ADJ,sulkeutuneesta/ADJ,asenteesta/NOUN
neljäs/ADJ,amerikkalainen/ADJ,yhtiö/NOUN
alituisesta/ADJ,korkeasta/ADJ,hinnasta/NOUN
ensimmäiset/ADJ,kansainväliset/ADJ,olympialaiset/NOUN
Ensimmäiset/ADJ,kreikkalaiset/ADJ,tekstit/NOUN
omat/ADJ,poliittiset/ADJ,järjestelmänsä/NOUN
suuret/ADJ,uudet/ADJ,päästömaat/NOUN
useita/ADJ,erilaisia/ADJ,menhireitä/NOUN
lukuisia/ADJ,esihistoriallisia/ADJ,artefakteja/NOUN
tietyt/ADJ,tyylilliset/ADJ,ratkaisut/NOUN
tiettyjen/ADJ,kolmansien/ADJ,maiden/NOUN
oman/ADJ,hyvän/ADJ,maineensa/NOUN
useita/ADJ,varteenotettavia/ADJ,toimijoita/NOUN
massiivisen/ADJ,geneettisen/ADJ,datan/NOUN
lukuisia/ADJ,edistyksellisiä/ADJ,ominaisuuksia/NOUN
korkealaatuisen/ADJ,valokuvanomaisen/ADJ,tulostuslaadun/NOUN
Seuraava/ADJ,merkittävä/ADJ,versio/NOUN
ensimmäinen/ADJ,varsinainen/ADJ,poronhoitolaki/NOUN
useita/ADJ,perinteisiä/ADJ,erotuspaikkoja/NOUN
aiemmasta/ADJ,toimialakohtaisesta/ADJ,järjestelmästä/NOUN
erämaisista/ADJ,vanhoista/ADJ,metsistä/NOUN
vanhoja/ADJ,luonnontilaisia/ADJ,metsiä/NOUN
oikea/ADJ,oikeudellinen/ADJ,perusta/NOUN
