하늘하늘거리는/ADJ,긴/ADJ,생머리는/NOUN
이런/ADJ,어처구니없는/ADJ,부품결함이/NOUN
다른/ADJ,중요한/ADJ,결과는/NOUN
현대적인/ADJ,세련된/ADJ,하모니를/NOUN
다른/ADJ,수많은/ADJ,기술이/NOUN
또다른/ADJ,희미한/ADJ,세페이드/NOUN
별/ADJ,다른/ADJ,반응/NOUN
동양적인/ADJ,단아한/ADJ,매력을/NOUN
많은/ADJ,넓은/ADJ,문명국들이/NOUN
별별/ADJ,해괴한/ADJ,물건들이/NOUN
다른/ADJ,수많은/ADJ,정치가들은/NOUN
다양한/ADJ,새/ADJ,리듬이/NOUN
조그만/ADJ,새/ADJ,한마리가/NOUN
다른/ADJ,천한/ADJ,금속을/NOUN
훌륭한/ADJ,새로운/ADJ,지식이/NOUN
수많은/ADJ,다른/ADJ,은하들이/NOUN
다른/ADJ,커다란/ADJ,실체/NOUN
온갖/ADJ,잡스러운/ADJ,일들이/NOUN
다른/ADJ,모든/ADJ,측면은/NOUN
여러/ADJ,다른/ADJ,작품을/NOUN
모든/ADJ,새로운/ADJ,피조물은/NOUN
한/ADJ,아름다운/ADJ,공주를/NOUN
또다른/ADJ,새로운/ADJ,방법들이/NOUN
