andere/ADJ,Zuid-Amerikaanse/ADJ,landen/NOUN
eerste/ADJ,echte/ADJ,test/NOUN
eerste/ADJ,internationale/ADJ,bijeenkomst/NOUN
eerste/ADJ,Europese/ADJ,vrouwensynode/NOUN
eigen/ADJ,rk/ADJ,kerk/NOUN
rk/ADJ,kerkelijk/ADJ,recht/NOUN
24-jarige/ADJ,technisch/ADJ,medewerker/NOUN
grote/ADJ,Nederlandse/ADJ,tbs-instellingen/NOUN
Amerikaanse/ADJ,industriële/ADJ,concern/NOUN
Peruaanse/ADJ,geheime/ADJ,dienst/NOUN
linkse/ADJ,Colombiaanse/ADJ,rebellen/NOUN
andere/ADJ,halve/ADJ,finale/NOUN
Argentijnse/ADJ,militaire/ADJ,regime/NOUN
soortgelijke/ADJ,Israëlische/ADJ,wraakaanval/NOUN
drievoudig/ADJ,olympisch/ADJ,kampioene/NOUN
eerste/ADJ,directe/ADJ,confrontatie/NOUN
nieuwe/ADJ,Europese/ADJ,kampioen/NOUN
derde/ADJ,professionele/ADJ,zwemteam/NOUN
constante/ADJ,Nederlandse/ADJ,spelers/NOUN
61-jarige/ADJ,Amerikaanse/ADJ,coach/NOUN
tweede/ADJ,gele/ADJ,kaart/NOUN
onbekeerde/ADJ,Nederlandse/ADJ,zedendelinquent/NOUN
traditionele/ADJ,Surinaamse/ADJ,gewaden/NOUN
71-jarige/ADJ,Surinaamse/ADJ,kunstenaar/NOUN
hedendaagse/ADJ,Surinaamse/ADJ,kunst/NOUN
andere/ADJ,Europese/ADJ,landen/NOUN
nieuwe/ADJ,Braziliaanse/ADJ,bondscoach/NOUN
verschillende/ADJ,regionale/ADJ,ministers/NOUN
vroegere/ADJ,Belgische/ADJ,regeringsleider/NOUN
belangrijkste/ADJ,monetaire/ADJ,operatie/NOUN
zogenaamd/ADJ,a-cellulair/ADJ,kinkhoestvaccin/NOUN
typisch/ADJ,geweldloos/ADJ,geluid/NOUN
integrale/ADJ,preventieve/ADJ,zorg/NOUN
eerste/ADJ,drukke/ADJ,vakantieweekeinde/NOUN
eerste/ADJ,internationale/ADJ,conferentie/NOUN
eerste/ADJ,Europese/ADJ,commissaris/NOUN
Israelische/ADJ,binnenlandse/ADJ,veiligheidsdienst/NOUN
jonge/ADJ,Nederlandse/ADJ,componist/NOUN
voormalige/ADJ,Haïtiaanse/ADJ,dictator/NOUN
succesvolle/ADJ,financiële/ADJ,speculaties/NOUN
afgezette/ADJ,Ethiopische/ADJ,dictator/NOUN
eerste/ADJ,Portugese/ADJ,geluidsfilm/NOUN
officiële/ADJ,Duitse/ADJ,luchtvaartmaatschappij/NOUN
hoogste/ADJ,actieve/ADJ,vulkaan/NOUN
laatste/ADJ,Russische/ADJ,tsaar/NOUN
eerste/ADJ,synthetische/ADJ,vaccin/NOUN
eerste/ADJ,Cubaanse/ADJ,president/NOUN
eerste/ADJ,multi-raciale/ADJ,verkiezingen/NOUN
vorige/ADJ,Argentijnse/ADJ,munt/NOUN
roemruchte/ADJ,koninklijke/ADJ,traditie/NOUN
grootste/ADJ,industriële/ADJ,bedrijf/NOUN
digitale/ADJ,mobiele/ADJ,communicatie/NOUN
juiste/ADJ,parlementaire/ADJ,procedures/NOUN
eerste/ADJ,parlementaire/ADJ,verkiezingen/NOUN
Britse/ADJ,koninklijke/ADJ,jacht/NOUN
grote/ADJ,Amerikaanse/ADJ,concurrent/NOUN
jonge/ADJ,aantrekkelijke/ADJ,vrouw/NOUN
tweede/ADJ,Duitse/ADJ,keizerrijk/NOUN
zoete/ADJ,Franse/ADJ,likeur/NOUN
eerste/ADJ,Romeinse/ADJ,keizer/NOUN
beroemde/ADJ,Franse/ADJ,film/NOUN
traditionele/ADJ,Chinese/ADJ,behandelingswijze/NOUN
Hongkongse/ADJ,communistische/ADJ,blad/NOUN
IJslandse/ADJ,middeleeuwse/ADJ,literatuur/NOUN
beste/ADJ,vrouwelijke/ADJ,bijrol/NOUN
louter/ADJ,krijgshaftige/ADJ,vrouwen/NOUN
eerste/ADJ,Nederlandse/ADJ,rock/NOUN
kleine/ADJ,ronde/ADJ,dopjes/NOUN
moderne/ADJ,beeldende/ADJ,kunst/NOUN
spreekwoordelijke/ADJ,jongste/ADJ,zoon/NOUN
hele/ADJ,koninklijke/ADJ,familie/NOUN
traditionele/ADJ,Japanse/ADJ,kleding/NOUN
kleine/ADJ,islamitische/ADJ,groep/NOUN
kortere/ADJ,bredere/ADJ,snuit/NOUN
bekende/ADJ,Russisch-Poolse/ADJ,socialiste/NOUN
magnetiseerbaar/ADJ,laagje/NOUN,metaalpoeder/ADJ
karakteristieke/ADJ,bittere/ADJ,aroma/NOUN
dunne/ADJ,metalen/ADJ,strip/NOUN
eerste/ADJ,avondvullende/ADJ,tekenfilm/NOUN
moderne/ADJ,Franse/ADJ,stad/NOUN
verschillende/ADJ,sterke/ADJ,dranken/NOUN
gewoon/ADJ,Belgische/ADJ,telefoonnummer/NOUN
andere/ADJ,Oosteuropese/ADJ,landen/NOUN
beste/ADJ,buitenlandse/ADJ,film/NOUN
andere/ADJ,Nederlandse/ADJ,combinatie/NOUN
eigenlijke/ADJ,elementaire/ADJ,bouwstenen/NOUN
briljant/ADJ,politiek/ADJ,theoreticus/NOUN
sterke/ADJ,Egyptische/ADJ,zeemacht/NOUN
provinciale/ADJ,Friese/ADJ,VVV/NOUN
belangrijkste/ADJ,kerkelijke/ADJ,gebeurtenis/NOUN
nationale/ADJ,Braziliaanse/ADJ,bisschoppenconferentie/NOUN
geringe/ADJ,literaire/ADJ,waarde/NOUN
prachtigste/ADJ,Romeinse/ADJ,patriciershuizen/NOUN
hele/ADJ,niet-dominante/ADJ,hersenhelft/NOUN
ambitieuze/ADJ,stedebouwkundige/ADJ,centrumplannen/NOUN
grote/ADJ,vierkante/ADJ,blokken/NOUN
nieuwe/ADJ,federale/ADJ,regering/NOUN
gehele/ADJ,verdere/ADJ,wedstrijd/NOUN
ander/ADJ,onprettig/ADJ,facet/NOUN
andere/ADJ,hoge/ADJ,colleges/NOUN
Amerikaanse/ADJ,buitenlandse/ADJ,beleid/NOUN
zogenaamde/ADJ,moderne/ADJ,landbouwondernemingen/NOUN
irrationele/ADJ,onrustverwekkende/ADJ,reacties/NOUN
hele/ADJ,koninklijke/ADJ,familie/NOUN
nieuwe/ADJ,eerste/ADJ,divisieploeg/NOUN
Internationale/ADJ,monetaire/ADJ,fonds/NOUN
Duitse/ADJ,eerste/ADJ,kamer/NOUN
kleine/ADJ,socialistische/ADJ,partij/NOUN
gehele/ADJ,jonge/ADJ,generatie/NOUN
vierde/ADJ,achtereenvolgende/ADJ,jaar/NOUN
jongste/ADJ,Israelische/ADJ,inval/NOUN
sterke/ADJ,economische/ADJ,expansie/NOUN
sterke/ADJ,progressief-democratische/ADJ,volkspartij/NOUN
beroemde/ADJ,jonge/ADJ,pianist/NOUN
sterkste/ADJ,Zuidhollandse/ADJ,wielertroeven/NOUN
15-jarige/ADJ,huishoudelijke/ADJ,hulpen/NOUN
militaire/ADJ,Atheense/ADJ,regering/NOUN
zogenaamde/ADJ,harde/ADJ,kern/NOUN
interne/ADJ,Cypriotische/ADJ,aangelegenheden/NOUN
grootste/ADJ,internationale/ADJ,boekenbeurs/NOUN
zwaar/ADJ,lichamelijk/ADJ,letsel/NOUN
nationale/ADJ,militaire/ADJ,team/NOUN
bekwame/ADJ,Enschedese/ADJ,doelman/NOUN
veelbelovende/ADJ,Nederlandse/ADJ,sprinter/NOUN
huidige/ADJ,industriele/ADJ,taakverdeling/NOUN
belangrijkste/ADJ,maatschappelijke/ADJ,verschijnsel/NOUN
Grote/ADJ,technische/ADJ,accuratesse/NOUN
